FMPlog	('balanced', 'entropy', None, 1, 2)	88.56	99.19	-1	27
FMPlog	('balanced', 'entropy', None, 1, 2)	88.56	99.19	-1	27
FMPlog	(None, 'entropy', None, 1, 2)	87.32	98.42	-1	28
FMPlog	(None, 'entropy', None, 1, 2)	87.32	98.42	-1	28
FMPlog	(None, 'entropy', None, 1, 2)	87.32	98.42	-1	28
FMPlog	('balanced', 'gini', None, 1, 2)	79.48	98.71	-1	20
FMPlog	('balanced', 'gini', None, 1, 2)	79.48	98.71	-1	20
FMPlog	('balanced', 'gini', None, 1, 2)	79.48	98.71	-1	20
FMPlog	(None, 'entropy', None, 1, 2)	87.42	98.95	-1	35
FMPlog	(None, 'entropy', None, 1, 2)	87.42	98.95	-1	35
FMPlog	(None, 'entropy', None, 1, 2)	87.42	98.95	-1	35
FMPlog	('balanced', 'entropy', None, 1, 2)	88.2	98.98	-1	33
FMPlog	('balanced', 'entropy', None, 1, 2)	88.2	98.98	-1	33
FMPlog	('balanced', 'entropy', None, 1, 2)	88.2	98.98	-1	33
FMPlog	(None, 'entropy', None, 10, 2)	87.34	91.41	-1	16
FMPlog	(None, 'entropy', None, 10, 2)	87.34	91.41	-1	16
FMPlog	(None, 'entropy', None, 10, 2)	87.34	91.41	-1	16
FMPlog	(None, 'entropy', None, 1, 2)	87.42	98.95	-1	35
FMPlog	(None, 'entropy', None, 1, 2)	87.42	98.95	-1	35
FMPlog	(None, 'entropy', None, 1, 2)	87.42	98.95	-1	35
FMPlog	(None, 'entropy', 6, 16, 2)	86.04	86.89	-1	6
FMPlog	(None, 'gini', 6, 10, 0.1)	83.88	85.16	-1	6
FMPlog	(None, 'entropy', None, 1, 2)	87.42	98.95	-1	35
FMPlog	(None, 'entropy', None, 1, 2)	87.42	98.95	-1	35
FMPlog	(None, 'entropy', None, 1, 2)	87.42	98.95	-1	35
FMPlog	('balanced', 'entropy', None, 1, 2)	88.56	99.19	-1	27
FMPlog	('balanced', 'entropy', None, 1, 2)	88.56	99.19	-1	27
FMPlog	('balanced', 'entropy', None, 1, 2)	88.56	99.19	-1	27
FMPlog	('balanced', 'entropy', None, 1, 2)	88.56	99.19	-1	27
FMPlog	('balanced', 'entropy', None, 1, 2)	88.56	99.19	-1	27
